Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,StyleGroup
American IPA,7,42.0,1.068,1.013,7.2,105.67,7.77,52.0,60,1.055,68.0,2.0,0,0,,19.0,,,IPA
Witbier,175,25.0,1.057,1.012,5.87,23.21,3.11,35.0,90,1.041,83.0,4.69,0,0,0.75,,,,Belgian
Strong Scotch Ale,160,20.82,1.087,1.022,8.56,85.74,24.85,13.25,60,1.137,75.0,,0,0,0.5,20.0,Corn Sugar,,Scotch Ale
Witbier,175,20.82,1.05,1.013,4.85,20.08,3.33,28.39,90,1.037,75.0,,0,0,0.75,,,,Belgian
Imperial IPA,86,22.71,1.102,1.023,10.34,136.21,6.34,30.28,90,1.076,80.0,2.0,0,0,0.75,16.67,,,IPA
Belgian Golden Strong Ale,23,18.93,1.07,1.008,8.14,31.39,4.28,25.97,90,1.051,70.0,1.33,0,0,,20.0,force carb,19 psi @  50f,Belgian
Sweet Stout,162,20.82,1.066,1.021,5.87,37.61,41.27,24.61,60,1.056,65.0,1.25,0,0,0.5,,,,Porter & Stout
American IPA,7,41.64,1.072,1.014,7.52,87.48,7.3,49.21,90,1.061,65.0,1.3,0,0,0.75,20.0,Force Carb,12 psi,IPA
Witbier,175,41.64,1.052,1.013,5.22,16.79,4.31,49.21,90,1.044,73.0,1.5,0,0,0.5,20.0,,,Belgian
Belgian Tripel,26,19.87,1.092,1.017,9.85,36.65,5.14,25.55,90,1.072,70.0,,0,3,,,,,Belgian
American Stout,12,20.82,1.096,1.026,9.16,33.18,40.0,18.93,60,,70.0,,0,1,,,,,Porter & Stout
American IPA,7,22.71,1.072,1.016,7.27,0.0,9.3,28.39,60,,65.0,,0,0,,,,,IPA
Belgian Pale Ale,24,18.93,1.07,1.02,6.47,23.28,5.93,7.57,60,1.174,50.0,,0,1,0.35,21.11,,,Belgian
Imperial IPA,86,20.82,1.079,1.014,8.51,120.63,8.08,27.63,60,1.059,75.0,1.5,0,0,1.25,18.89,,,IPA
Bohemian Pilsener,31,25.0,1.05,1.013,4.88,40.51,3.5,30.0,90,1.042,72.0,,0,0,,10.0,Sukkerlake,6 g sukker/l,Lager
Kölsch,94,20.82,1.049,1.012,4.84,25.23,3.79,28.39,90,,68.0,,0,0,,,Dextrose,3oz,Hybrid Ale
Dark American Lager,52,20.82,1.043,1.011,4.14,13.22,17.67,28.39,90,,85.0,,0,0,1.75,12.22,,,Lager
American Pale Ale,10,5.0,1.054,1.011,5.61,40.55,5.66,7.0,60,1.038,72.0,,0,0,,18.0,Sukkerlake,6 g sukker/l,Pale Ale
Holiday/Winter Special Spiced Beer,85,18.93,1.083,1.02,8.36,101.71,15.51,11.36,60,,70.0,,0,1,,,,,Spiced/Seasonal
Dry Stout,58,45.42,1.044,1.01,4.39,38.47,31.4,53.0,60,1.038,80.0,1.5,0,0,1.0,18.89,,,Porter & Stout
Witbier,175,23.0,1.052,1.011,5.36,18.92,3.26,29.0,90,1.041,75.0,5.0,0,0,1.0,18.0,Sukker,8,Belgian
